fid,gndvi_1,gndvi_2,gndvi_3,gndvi_4,gndvi_5,gndvi_6,gndvi_7
72,0.21211929,0.165080294,0.184178199,0.345267998,0.298838852,0.259452708,0.192819163
74,0.169826957,0.212869634,0.233854973,0.168516306,0.177239686,0.19008841,0.178976538
75,0.181892812,0.205299979,0.196436519,0.226045861,0.222754908,0.216245337,0.210429382
76,0.271381519,0.15666492,0.121289027,0.432681622,0.3268735,0.300838549,0.245285794
77,0.160068445,0.161092626,0.15819619,0.166546767,0.190140844,0.201619136,0.185901849
78,0.205793411,0.145347163,0.146723333,0.315629697,0.274465436,0.243603998,0.162228972
82,0.259858003,0.19212406,0.188572788,0.355180514,0.306626356,0.275211105,0.225808871
83,0.245279813,0.192521088,0.22937993,0.331760496,0.287487689,0.265387252,0.198602652
84,0.193828724,0.17336412,0.19406081,0.270588348,0.237062874,0.220194509,0.176496123
85,0.237841967,0.174259692,0.174167063,0.32721404,0.335135713,0.293459326,0.216816951
86,0.242838868,0.170598694,0.182398496,0.372570395,0.30155029,0.299894618,0.247818191
93,0.211645591,0.166513224,0.174130082,0.305306579,0.257425504,0.238235948,0.181372978
95,0.213826678,0.17878191,0.192385906,0.278667805,0.23553044,0.234187846,0.202796685
97,0.248165446,0.178399803,0.210643079,0.325894722,0.291578161,0.254841709,0.206509267
98,0.255668348,0.255810159,0.221381691,0.335013252,0.315809217,0.282343376,0.216092163
99,0.218149247,0.220207874,0.201560246,0.308721845,0.245533288,0.230774758,0.198621084
101,0.208823398,0.359957308,0.320407607,0.240000498,0.265344523,0.238978188,0.180165473
104,0.218614933,0.164453781,0.147267997,0.18538177,0.180054444,0.181745699,0.166300479
105,0.177087408,0.110370599,0.116814679,0.258603242,0.226844269,0.210552114,0.177186912
106,0.205918342,0.163079292,0.127922826,0.313459789,0.235303414,0.209871928,0.18106013
108,0.194028774,0.301524377,0.306122679,0.242105502,0.225003847,0.210615158,0.182633895
109,0.201919965,0.212243033,0.24720373,0.241163323,0.264314763,0.214711996,0.178020294
110,0.252651378,0.181751766,0.18591655,0.386712973,0.307015201,0.216937054,0.156385321
111,0.238256747,0.380931497,0.351920587,0.211236992,0.194628403,0.193435264,0.17512016
112,0.185780025,0.297816668,0.255556718,0.206569112,0.216315959,0.20938339,0.174659399
113,0.185399684,0.162693771,0.160248248,0.207386227,0.229758566,0.203760054,0.167477427
114,0.176674627,0.246834707,0.269329642,0.2035776,0.232425425,0.251506694,0.202697129
115,0.165796586,0.151573326,0.16058003,0.221999988,0.222948754,0.215781263,0.196234114
116,0.214754927,0.291095426,0.161865577,0.298824169,0.262714351,0.232508001,0.204130263
117,0.239617628,0.187189029,0.208278956,0.37723304,0.312949819,0.272012526,0.217337513
118,0.242626672,0.179285098,0.141850489,0.340219211,0.308717734,0.277141878,0.212157704
119,0.267572845,0.164145721,0.186533172,0.415603337,0.337555203,0.273403291,0.206421747
120,0.240334138,0.149344931,0.168903578,0.411505839,0.320124006,0.247777605,0.182405481
121,0.175045369,0.189688055,0.156914464,0.331082503,0.277995787,0.250788667,0.203898595
122,0.254112028,0.191910765,0.2148779,0.361651131,0.321406695,0.3042415,0.240116469
123,0.263689749,0.190436089,0.215134598,0.383600967,0.334660976,0.309865741,0.254622553
124,0.264110175,0.260992877,0.288274396,0.374629547,0.3424686,0.286260557,0.207969165
125,0.249836955,0.183882383,0.174157495,0.36305641,0.305281591,0.280484423,0.225213702
126,0.270643124,0.163539593,0.165460405,0.391697747,0.34325919,0.310500815,0.234596549
127,0.208893642,0.297756126,0.240819577,0.34403465,0.277397212,0.273724736,0.216339035
128,0.238066711,0.176060943,0.199096358,0.294859591,0.272428556,0.272105515,0.236338278
129,0.266826881,0.182834211,0.172530164,0.367650475,0.310636932,0.301068781,0.241836989
130,0.235125077,0.207464933,0.236285883,0.353048794,0.277104014,0.247358033,0.186865904
131,0.252008846,0.14026363,0.149053699,0.393760758,0.343084622,0.30770421,0.24467019
132,0.255631235,0.178758884,0.15986421,0.374122709,0.316196862,0.274031223,0.202792612
133,0.243678509,0.158586526,0.155128663,0.369958768,0.323099722,0.292236379,0.230016737
134,0.261119774,0.14362775,0.150295211,0.426304117,0.371222641,0.331107279,0.251120575
135,0.223004055,0.189252922,0.204486672,0.398104187,0.335484432,0.275311655,0.201149229
136,0.276775969,0.137227745,0.158063451,0.425061808,0.368312256,0.324380482,0.235001529
137,0.290132484,0.167258969,0.205092658,0.40743206,0.360422191,0.333867374,0.269431713
138,0.230265846,0.120153781,0.148357371,0.345988925,0.299271956,0.27323585,0.185849507
139,0.245100543,0.231119245,0.178994211,0.37720032,0.305436371,0.262758661,0.192465148
140,0.229288816,0.160400991,0.171938737,0.342926627,0.302987903,0.264302535,0.19055591
141,0.222100608,0.167317758,0.165347676,0.358784928,0.312969752,0.28869704,0.214835573
142,0.300352889,0.165283028,0.232334659,0.420405057,0.297305125,0.275944254,0.226612961
143,0.232228186,0.150394611,0.161474355,0.407337104,0.324180131,0.28544544,0.212244314
144,0.236943388,0.279671385,0.344879466,0.388139126,0.346058056,0.325257359,0.225088623
145,0.196276841,0.197479527,0.23893125,0.309587577,0.261473593,0.238223295,0.188374051
146,0.295223197,0.142033162,0.152555363,0.421814419,0.364896171,0.33391243,0.264843917
147,0.22718423,0.147349475,0.157925885,0.420029439,0.304178366,0.244122141,0.18367281
148,0.29321862,0.162164575,0.180129959,0.420715336,0.376066173,0.361465481,0.298041628
149,0.245225785,0.134103396,0.178836607,0.398015762,0.337646578,0.270062747,0.18736453
150,0.254087518,0.15318365,0.173909929,0.368290445,0.323068921,0.279968123,0.216763716
151,0.277707789,0.153258875,0.174450077,0.413294343,0.354729783,0.324121503,0.235257246
152,0.250093474,0.153524929,0.154238355,0.375841012,0.340016629,0.295002092,0.238063471
