fid,nbr_1,nbr_2,nbr_3,nbr_4,nbr_5,nbr_6,nbr_7
156,0.15141076,-0.033129775,-0.027225389,0.255967018,0.190960389,0.19754807,0.153139411
157,0.16233974,-0.010921622,-0.013369898,0.341615024,0.267389718,0.225111799,0.188685657
158,0.113708663,-0.026876684,-0.03870887,0.16631799,0.140050991,0.145405143,0.119772827
159,-0.084475228,-0.128467972,-0.120916316,-0.102384247,-0.054455918,-0.058621627,-0.046956671
160,0.164160338,0.024720368,0.048637969,0.197204804,0.229394441,0.18922903,0.181463155
161,0.151927257,-0.023328264,-0.019756804,0.272670032,0.237786363,0.200168881,0.15514829
162,0.114181271,0.002167456,0.023751316,0.210644867,0.166000229,0.125559475,0.092813747
163,0.104793392,0.178287177,-0.039955918,0.273615029,0.221038523,0.179631184,0.137580934
164,0.16406982,-0.050432164,-0.030524001,0.301577623,0.262934678,0.221814277,0.164307586
165,0.180472758,-0.019427137,-0.035568384,0.377201484,0.281873227,0.226658982,0.177460316
166,0.183687724,-0.0200377,-0.01141147,0.33156619,0.290997469,0.24391943,0.200743329
167,0.161615657,0.001175427,-0.025548707,0.318622511,0.25183546,0.201558756,0.157522407
168,0.16652273,0.007692377,0.015992921,0.361994706,0.293654476,0.254963053,0.163228661
169,0.176374457,0.026190055,0.071227319,0.301023319,0.27876739,0.232479583,0.178667736
170,0.189169197,-0.009051316,-0.036496146,0.282922622,0.226657376,0.210877431,0.187676785
171,0.249906482,0.017480645,-0.028217632,0.393117919,0.328323062,0.28133388,0.222997364
172,0.207355994,0.054417016,0.029126246,0.356259156,0.269331612,0.237892321,0.19322174
173,0.198069112,0.00450522,0.048355815,0.355887818,0.306252983,0.27404156,0.227513264
174,0.227006932,0.006761937,0.058723701,0.3575651,0.310004952,0.246423144,0.189363131
175,0.173151992,0.020547093,0.092339619,0.368219605,0.307936228,0.284182544,0.229385572
176,0.286956418,0.011252581,0.037600277,0.378671426,0.330714566,0.302238029,0.267347277
177,0.159690278,0.04250797,-0.025507247,0.23444468,0.222399368,0.156947382,0.140426752
178,0.10474763,-0.01356503,-0.012127429,0.302611461,0.219432695,0.191333192,0.149470827
179,0.216572717,0.040614406,0.067320513,0.3346654,0.279884526,0.247307558,0.208290754
180,0.159377118,0.048479601,0.019856085,0.210217488,0.223808772,0.182469774,0.17252305
