fid,savi_1,savi_2,savi_3,savi_4,savi_5,savi_6,savi_7
64,0.320334796,0.175323089,0.161962328,0.473467367,0.430307391,0.375984274,0.326699384
65,0.394773801,0.164896426,0.1847033,0.685267605,0.572586149,0.472353093,0.353357767
66,0.387344464,0.255091625,0.235497476,0.59941771,0.525973445,0.454136747,0.391056769
67,0.336525272,0.185506555,0.178948171,0.549727309,0.491280812,0.424143051,0.382269499
68,0.382823013,0.166075467,0.188015154,0.635200362,0.524316894,0.424772056,0.347702697
69,0.411251154,0.212128819,0.230367363,0.642162848,0.478181397,0.416589106,0.37548235
70,0.417739996,0.21025639,0.262133191,0.624703522,0.52862389,0.458327214,0.394605779
71,0.401201364,0.234708451,0.244325529,0.606456988,0.531440257,0.468870883,0.376222765
72,0.310882826,0.238293533,0.253122711,0.542829005,0.456800243,0.389855772,0.330469937
74,0.214002895,0.32481486,0.325134618,0.206359887,0.225663015,0.251453342,0.256796271
75,0.211267732,0.284145083,0.25114099,0.287873824,0.274657455,0.27927469,0.299679608
76,0.41465602,0.229544799,0.154385121,0.693180821,0.514524349,0.474695218,0.424262886
77,0.157631987,0.200654993,0.160618181,0.158246753,0.204188536,0.231644321,0.241779338
78,0.292658931,0.193086115,0.178212658,0.473624408,0.395244962,0.351888597,0.233675328
82,0.380248743,0.282264018,0.261865011,0.557626474,0.465552622,0.409496593,0.362034398
83,0.349065319,0.269889068,0.314762574,0.504505683,0.430244341,0.402980287,0.346702673
84,0.245281083,0.241796335,0.246525454,0.388242289,0.322678551,0.295715128,0.279187938
85,0.340216585,0.217839915,0.209612262,0.502805263,0.515047781,0.438981056,0.355533332
86,0.362570128,0.240217398,0.247391511,0.582050285,0.464924335,0.460732967,0.413747277
93,0.290774082,0.22844748,0.218880621,0.457562695,0.355369757,0.339526147,0.276432335
95,0.28391301,0.240509629,0.250237669,0.401530496,0.328674693,0.324553311,0.296247797
97,0.363228866,0.248400484,0.280332152,0.493964327,0.44157402,0.374376306,0.348335526
98,0.361893085,0.381626818,0.317736742,0.503720713,0.461740041,0.409928045,0.327031824
99,0.309719039,0.340275884,0.287544612,0.451402072,0.34981651,0.337421498,0.31292926
101,0.272129472,0.574244827,0.481351927,0.320948094,0.355632827,0.309042223,0.247943237
104,0.314874935,0.220048186,0.174335989,0.213135484,0.205304322,0.207579187,0.211069512
105,0.232483727,0.133820754,0.132679871,0.373721719,0.318563813,0.291713205,0.289468068
106,0.285426458,0.225980364,0.154774388,0.468535905,0.350963429,0.295750558,0.293718427
108,0.252170327,0.480288792,0.469260198,0.326375473,0.298672557,0.276278421,0.256440538
109,0.268879319,0.315802068,0.355330224,0.326328265,0.373451064,0.299712067,0.269126624
110,0.381252087,0.269604508,0.257954921,0.616581483,0.475611729,0.326696091,0.268390039
111,0.311987692,0.622032738,0.545737672,0.247892731,0.221186343,0.223381144,0.219727555
112,0.213133565,0.475733612,0.368433322,0.230214868,0.238024646,0.230800169,0.210492713
113,0.213997833,0.171925365,0.168763085,0.251616416,0.278885527,0.267272047,0.249912271
114,0.175212508,0.359170693,0.344503661,0.218645764,0.255028447,0.29975343,0.252416753
115,0.180060331,0.192867499,0.186737229,0.280460421,0.259374651,0.251991407,0.254473828
116,0.291400428,0.444919215,0.187617299,0.449263731,0.381220326,0.347833726,0.339384704
117,0.355215419,0.278037286,0.305364219,0.595233294,0.486148796,0.413315007,0.35054621
118,0.357962171,0.254256847,0.176232134,0.520584586,0.457633443,0.41585868,0.366377568
119,0.406546586,0.232281293,0.260538291,0.662568743,0.529769493,0.419226252,0.359098321
120,0.355486709,0.203995941,0.219685433,0.653050718,0.496062165,0.36750262,0.323279436
121,0.243649387,0.270377113,0.194748673,0.502389623,0.412062456,0.36631711,0.328369697
122,0.372848176,0.274399905,0.289741655,0.559255618,0.491469363,0.464214693,0.38464344
123,0.387574443,0.264804393,0.30175441,0.601247681,0.51073063,0.470673407,0.407446295
124,0.394413468,0.410745723,0.442194986,0.599132465,0.53473514,0.434489753,0.353809089
125,0.374254466,0.26175701,0.221576006,0.574706558,0.473273232,0.431000878,0.376383799
126,0.408100856,0.227202389,0.212879698,0.624816513,0.537875171,0.483664426,0.378112361
127,0.298256003,0.472939339,0.349892856,0.532181859,0.41688908,0.40695863,0.357978354
