fid,ndmi_1,ndmi_2,ndmi_3,ndmi_4,ndmi_5,ndmi_6,ndmi_7
75,-0.112019364,-0.074698992,-0.088045345,-0.07213074,-0.082609858,-0.070017392,-0.034732553
76,0.088102031,-0.072610453,-0.075581931,0.250309723,0.124641073,0.113343357,0.089913594
77,-0.105893842,-0.096556342,-0.079310208,-0.095206213,-0.059338478,-0.049021458,-0.024846547
78,0.001129261,-0.095022432,-0.067122937,0.106735095,0.045663386,0.025988715,-0.0706772
82,0.079748838,-0.019785872,-0.021403462,0.150850094,0.102359947,0.084796229,0.067368145
83,0.026580368,-0.034842454,-0.019130516,0.124978862,0.076541429,0.068055466,0.026284228
84,-0.020922272,-0.059518232,-0.050251455,0.024167608,-0.014256101,-0.02726405,-0.029190114
85,0.067890285,-0.094462615,-0.095368739,0.152538087,0.159722712,0.124470316,0.069076138
86,0.063065896,-0.069115455,-0.075501336,0.160431299,0.107259633,0.108571963,0.083423051
93,-0.015272416,-0.095215783,-0.102153511,0.085934511,-0.017000476,0.003546915,-0.025476443
95,-0.026631892,-0.069699462,-0.062581895,0.050987206,0.018026275,0.022034236,-0.000719983
97,0.067717143,-0.069460016,-0.036315388,0.116543103,0.117671026,0.069951072,0.044156046
98,0.088822465,0.091913525,0.048180369,0.128496642,0.116633942,0.095243277,0.080276702
99,0.018112095,0.033987044,-0.037132064,0.055272734,-0.0000688,0.031176614,0.002897994
101,-0.011369666,0.188884325,0.129369523,-0.009868782,0.027612283,-0.003922495,-0.030966044
104,0.00280606,-0.082237288,-0.110249311,-0.100325722,-0.098651593,-0.096115643,-0.089640199
105,-0.023513386,-0.106521709,-0.083142109,0.051707128,0.015982018,-0.001261892,-0.016476042
106,-0.008840304,-0.078174613,-0.105154887,0.079901034,0.025577291,-0.013652633,-0.00336273
108,-0.021080417,0.109572764,0.1224868,-0.020694064,-0.039061886,-0.045561713,-0.038173302
109,-0.025767138,-0.012225158,0.01789197,-0.015877084,0.035100097,-0.022189643,-0.020697574
110,0.067714114,-0.036914491,-0.034384492,0.200976819,0.101195191,0.029729519,0.003567803
111,0.014763174,0.225202027,0.165982756,-0.081233523,-0.084058307,-0.09118911,-0.082933163
112,-0.068962577,0.11093244,0.056622548,-0.060217282,-0.046738492,-0.052819345,-0.05827091
113,-0.056532644,-0.124817144,-0.10452757,-0.031353386,-0.030351723,0.015470232,-0.01094547
114,-0.073833871,0.039081065,0.032159685,-0.047232387,-0.024122385,-0.009826211,-0.029663306
115,-0.118339357,-0.12238902,-0.096669768,-0.036121372,-0.060210924,-0.073206842,-0.069453856
116,-0.033123291,0.100184109,-0.100247152,0.071431815,0.033125424,0.034801612,0.021878139
117,0.048622611,-0.033299944,-0.008319273,0.186118827,0.120734877,0.0815329,0.05075218
118,0.062087301,-0.065444237,-0.079412511,0.135289,0.08780103,0.104917233,0.069790943
119,0.09756591,-0.059803904,-0.035563386,0.238886682,0.1466358,0.081318969,0.057511232
120,0.076446064,-0.093375564,-0.083473914,0.238491315,0.124249926,0.039738016,0.024127795
121,-0.007685795,-0.04214305,-0.043971767,0.120320661,0.064127116,0.038333186,0.033520252
122,0.087265671,-0.028000282,-0.030579444,0.167775498,0.132557531,0.122030358,0.083097271
123,0.073928385,-0.0615584,0.01163295,0.200698793,0.131866977,0.12388897,0.098206938
124,0.069466037,0.060612279,0.097068855,0.18870003,0.147263034,0.090368017,0.055781075
125,0.068271973,-0.052878483,-0.074604032,0.165524189,0.107385132,0.084954596,0.054137747
126,0.091718672,-0.08134463,-0.101938675,0.221771549,0.15366927,0.133919958,0.066571014
127,0.0420482,0.101292575,0.047322745,0.139968616,0.103602896,0.068880087,0.058567709
128,0.008400677,-0.097848433,-0.082939883,0.070413744,0.011149982,0.025077414,0.016719225
129,0.079438623,-0.071805382,-0.113604414,0.18355263,0.15494744,0.103114081,0.077641953
130,0.048125042,-0.010555003,0.013806204,0.156272858,0.08675802,0.057140608,0.043178185
131,0.071860363,-0.11949151,-0.126766529,0.185750049,0.142372227,0.118103013,0.081890441
132,0.068372393,-0.045039963,-0.069201042,0.195637587,0.129412675,0.09424492,0.071340371
133,0.081140593,-0.083587723,-0.088025255,0.18628216,0.1384913,0.107121921,0.088620574
134,0.076488612,-0.055462048,-0.04686042,0.243176553,0.181164769,0.147147759,0.105738513
135,0.049171931,-0.01868385,-0.012056616,0.228516016,0.153449284,0.099329783,0.057680282
136,0.097918528,-0.092226911,-0.095594293,0.254451365,0.17985587,0.139168118,0.08656123
137,0.114910006,-0.099628062,-0.064882847,0.219278292,0.162875549,0.147009665,0.112038104
138,0.061736488,-0.099789031,-0.08953943,0.137217749,0.086726899,0.084884147,0.028552797
139,0.07158483,0.039411093,-0.028163022,0.193272299,0.128793715,0.082090196,0.031460338
140,0.039313045,-0.084294274,-0.063588012,0.119637479,0.086230025,0.057499863,0.026034881
